arrival_time,departure_stage,reception_start,reception_end,screening_start,screening_end,doctor_start,doctor_end
8:15,Doctor,8:16,8:18,8:18,8:22,8:23,8:28
8:20,Doctor,8:21,8:23,8:23,8:27,8:28,8:33
8:25,Doctor,8:26,8:28,8:28,8:32,8:33,8:38
8:30,Doctor,8:31,8:33,8:33,8:37,8:38,8:43
8:35,Doctor,8:36,8:38,8:38,8:42,8:43,8:48
8:40,Doctor,8:41,8:43,8:43,8:47,8:48,8:53
8:45,Screening,8:46,8:48,8:48,8:52
8:50,Screening,8:51,8:53,8:53,8:57
8:55,Screening,8:56,8:58,8:58,9:02
9:00,Screening,9:01,9:03,9:03,9:07
9:05,Screening,9:06,9:08,9:08,9:12
9:10,Screening,9:11,9:13,9:13,9:17
9:15,Screening,9:16,9:18,9:18,9:22
9:20,Screening,9:21,9:23,9:23,9:27
9:25,Screening,9:26,9:28,9:28,9:32
9:30,Screening,9:31,9:33,9:33,9:37
9:35,Screening,9:36,9:38,9:38,9:42
9:40,Screening,9:41,9:43,9:43,9:47
9:45,Screening,9:46,9:48,9:48,9:52
9:50,Screening,9:51,9:53,9:53,9:57
